threadID,sectionID,event,val,ts,ticket
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,3,1573929599059061797,156
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,3,1573929599060104950,157
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,3,1573929599060162696,158
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,2,1573929599060193196,159
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,2,1573929599066517299,160
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,2,1573929599066673468,161
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,2,1573929599066723468,162
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599066810763,163
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929599068562864,164
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,1,1573929599068798616,165
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,1,1573929599068837042,166
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599068879195,167
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599073435404,168
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599076689241,169
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599082157963,170
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599082811954,171
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599082882794,172
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599082967829,173
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599085358900,174
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599085425560,175
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599085466317,176
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599086635995,177
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599087282906,178
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599089475729,179
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599096935845,180
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599097010346,181
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599097058325,182
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599097492784,183
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599099429250,184
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599102895026,185
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599102989364,186
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599103055798,187
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599103086472,188
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599103310832,189
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599105833171,190
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599110376365,191
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599114204200,192
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599114277347,193
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599114323653,194
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599115432440,195
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599115469452,196
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599115510663,197
id_140527665071936,solicitarBicicleta,BEGIN_FUNC_PROC,0,0,1573929599118334722,198
id_140527665071936,devolverBicicleta,BEGIN_FUNC_PROC,0,0,1573929599124790661,199
id_140527665071936,devolverBicicleta,END_FUNC_PROC,1,0,1573929599124867011,200
id_140527665071936,solicitarBicicleta,END_FUNC_PROC,0,0,1573929599124898371,201
