threadID,sectionID,event,val,ts,ticket
id_140560569108288,mutex,SIGNAL,1,1572783758220525249,119
id_140560569108288,mutex,WAIT,0,1572783758238707412,120
id_140560569108288,mutex,SIGNAL,1,1572783758238789699,121
id_140560569108288,mutex,WAIT,0,1572783758241664996,122
id_140560569108288,mutex,SIGNAL,1,1572783758241732913,123
id_140560569108288,mutex,WAIT,0,1572783758245239753,124
id_140560569108288,mutex,SIGNAL,1,1572783758245335493,125
id_140560569108288,mutex,WAIT,0,1572783758251438208,126
id_140560569108288,mutex,SIGNAL,1,1572783758251534083,127
id_140560569108288,mutex,WAIT,0,1572783758255088732,128
id_140560569108288,mutex,SIGNAL,1,1572783758255183345,129
id_140560569108288,mutex,WAIT,0,1572783758256962881,130
id_140560569108288,mutex,SIGNAL,1,1572783758257048032,131
id_140560569108288,mutex,WAIT,0,1572783758257977453,132
id_140560569108288,mutex,SIGNAL,1,1572783758258042144,133
id_140560569108288,mutex,WAIT,0,1572783758272207823,134
id_140560569108288,mutex,SIGNAL,1,1572783758272292008,135
id_140560569108288,mutex,WAIT,0,1572783758282496849,136
id_140560569108288,mutex,SIGNAL,1,1572783758282594968,137
id_140560569108288,mutex,WAIT,0,1572783758282776216,138
id_140560569108288,mutex,SIGNAL,1,1572783758282843233,139
id_140560569108288,mutex,WAIT,0,1572783758285686570,140
id_140560569108288,mutex,SIGNAL,1,1572783758285776725,141
id_140560569108288,mutex,WAIT,0,1572783758286068473,142
id_140560569108288,mutex,SIGNAL,1,1572783758286167361,143
id_140560569108288,mutex,WAIT,0,1572783758308999796,144
id_140560569108288,mutex,SIGNAL,1,1572783758309098292,145
id_140560569108288,mutex,WAIT,0,1572783758325935069,146
id_140560569108288,mutex,SIGNAL,1,1572783758326045554,147
id_140560569108288,mutex,WAIT,0,1572783758328421896,148
id_140560569108288,mutex,SIGNAL,1,1572783758328515810,149
id_140560569108288,mutex,WAIT,0,1572783758349971008,150
id_140560569108288,mutex,SIGNAL,1,1572783758350065337,151
id_140560569108288,mutex,WAIT,0,1572783758365953504,152
id_140560569108288,mutex,SIGNAL,1,1572783758366041537,153
id_140560569108288,mutex,WAIT,0,1572783758373964214,154
id_140560569108288,mutex,SIGNAL,1,1572783758374050184,155
id_140560569108288,mutex,WAIT,0,1572783758446639848,156
id_140560569108288,mutex,SIGNAL,1,1572783758446738975,157
id_140560569108288,mutex,WAIT,0,1572783758472337052,158
id_140560569108288,mutex,SIGNAL,1,1572783758472415238,159
